first_name,last_name,email,phone
Alice,Smith,alice.smith@example.com,555-123-4567
Bob,Johnson,bob.johnson@example.com,555-234-5678
Carol,Williams,carol.williams@example.com,555-345-6789
David,Brown,david.brown@example.com,555-456-7890
Eve,Jones,eve.jones@example.com,555-567-8901
Frank,Miller,frank.miller@example.com,555-678-9012
Grace,Davis,grace.davis@example.com,555-789-0123
Henry,Garcia,henry.garcia@example.com,555-890-1234
Ivy,Martinez,ivy.martinez@example.com,555-901-2345
Jack,Lopez,jack.lopez@example.com,555-012-3456
